最大32文字までの英数字が設定でき，複数のアクセスポイントを設置したネットワークに対しても使用できる，無線LANのネットワークを識別するものはどれか。,2,MACアドレス,ESSID,RFID,IPアドレス
システム化計画の立案はソフトウェアライフサイクルのどのプロセスに含まれるか。,4,要件定義,開発,運用,企画
組織の情報共有とコミュニケーションの促進を図るためにグループウェアを利用することを検討している。必要なサーバやソフトウェアを自社で購入せずに利用できるソリューションとして，適切なものはどれか。,1,ASP,BPO,SI,ISP
プロジェクトマネジメントのために作成する図のうち，進捗が進んでいたり遅れていたりする状況を視覚的に確認できる図として，最も適切なものはどれか。,3,パレート図,WBS,ガントチャート,特性要因図
ウォータフォールモデルで開発を行うプロジェクトにおいて，システム要件定義の不具合を後続の工程で発見した。不具合を発見した工程のうち，不具合の修正や修正に伴う手戻りが最も少なく済む工程はどれか。,4,テスト,ソフトウェア受入れ,プログラミング,システム設計
受発注や決済などの業務で，ネットワークを利用して企業間でデータをやり取りするものはどれか。,4,CDN,SNS,B to C,EDI
1対1で情報の伝達を行う必要があるプロジェクトチームにおいて，メンバが6人から10人に増えた場合，情報の伝達を行うために必要な経路の数は何倍になるか。,2,1.5,3,2.5,6
小売業を営むある企業の当期の売上高は1，500万円，商品仕入高は1，000万円であった。期首の商品棚卸高が100万円，期末の商品棚卸高が200万円であるとき，当期の売上総利益は何万円か。,4,500,200,400,600
情報を縦横2次元の図形パターンに保存するコードはどれか。,1,QRコード,JANコード,Gコード,ACSIIコード
情報戦略に基づいて，開発の対象業務，費用，スケジュール，体制，投資効果などを明確化する業務はどれか。,2,保守業務,企画業務,開発業務,運用業務
